"No","NN.sigma_1800_today","lat","long"
684,0.0167274884092736,0.416,337
685,0.00405690652323025,0.751,337.01
686,0.00641912514824465,1,337
687,0.0352712553645396,3e-04,338.5
689,0.00209315456021482,-0.0105,340.99
690,0.00369986175699988,-0.0092,341.99
691,0.0282718031476646,-0.0035,342.98
692,0.0317303008733032,-0.0022,343.97
693,0.0147380612737586,-5e-04,344.98
694,0.020389924126541,5e-04,345.99
695,0.0739976509586257,-0.001,346.86
696,0.0630612020289129,-0.003,348
697,0.0337599442298343,-1.4988,350
698,0.071559059801902,-0.6728,349.99
699,0.0275481960975859,0.0162,350.17
700,0.0456019058177865,0.3347,349.98
701,0.0153439207240884,1.0005,350
702,0.00205016956988865,1.5007,350
703,0.00578496316478178,1.9938,348.97
704,0.00830058157334117,2.0002,347.97
705,0.00362382755968857,1.9875,345.98
706,0.00930224916394657,1.982,344.99
707,0.00100020447787523,1.9865,343.97
708,0.0139714013745067,2.0022,342.99
709,0.0101656788206235,1.997,341.97
710,0.0521651979758229,1.9932,339.96
711,0.00834133607613738,0.9838,336.98
712,0.00468777139912275,1.9863,336.98
713,0.00133852428482584,2.9935,337
714,0.0337855548603371,3.958,337
715,0.061554816480944,4.5063,337
716,2.4997195653568e-06,6.001,337
717,0.0108110705077562,6.996,337
718,0.0103575877414848,7.9853,336.99
719,0.00108347686474731,9.0012,337
720,0.00912341569804693,9.9992,336.99
721,0.000324903095575905,10.998,337
722,0.000587490513967546,12.001,337
723,0.000461721816646101,12.999,337
724,0.00130523487981017,14,337
725,0.000474086072041464,14.998,337
726,0.00309011684529202,17.591,335.76
727,0.0113025384763572,18,333
728,0.00150762684249701,18,334
729,0.00107796601781256,18,335
730,0.00118625130696544,17.6,335.73
731,0.00202358191197492,19,336
732,0.00206884687152975,18,337
733,0.00485499573693952,18,338
734,0.0299672000469016,18,339
735,0.00845060653505291,18,339.99
